canonical_node,verdict_family,canonical_level,legacy_six_grouping,ten_primitive,eleven_subclaim,nine_evidence_layer,role
A_SOURCE,J_A,normative_object,authorization_source_validity_scope,authority,authority_source,delegation,object_proposition
A_DELEGABILITY,J_A,normative_object,authorization_source_validity_scope,authority_validity,authority_validity,delegation,object_proposition
A_SCOPE,J_A,normative_object,authorization_source_validity_scope,scope,scope_application,delegation,object_proposition
A_DECISION_BASIS,J_A,normative_object,decision_basis_rule_predicates_transformations,decision_basis,decision_basis,decision_basis,conditional_object_proposition
A_PROCEDURE,J_A,normative_object,adverse_signals_and_controls,procedure,adverse_signals_and_controls,adverse_signals_and_controls,conditional_object_proposition
R_RUNTIME,J_R,record_reconstruction,execution_and_provenance,attribution,runtime_state,configuration,reconstruction
R_CONTEXT,J_R,record_reconstruction,execution_and_provenance,attribution,context_provenance,context,reconstruction
R_TRAJECTORY,J_R,record_reconstruction,execution_and_provenance,attribution,execution_procedure,execution,reconstruction
R_RECORD_QUALITY,J_R,record_quality,preservation_and_integrity,authenticity|integrity,preservation_integrity,preservation,cross_cutting_record_property
B_IDENTITY,J_B,institutional_response,answerability_and_review_remedy_forum,answerability,answerability_bearer,answerability_and_review,institutional_output
B_DUTY,J_B,institutional_response,answerability_and_review_remedy_forum,answerability,answerability_bearer,answerability_and_review,institutional_output
B_REACHABILITY,J_B,institutional_response,answerability_and_review_remedy_forum,answerability,answerability_bearer,answerability_and_review,institutional_output
C_ACCESS,J_C,institutional_response,answerability_and_review_remedy_forum,contestability,review_remedy_forum,answerability_and_review,institutional_output
C_COMPETENCE,J_C,institutional_response,answerability_and_review_remedy_forum,contestability,review_remedy_forum,answerability_and_review,institutional_output
C_INDEPENDENCE,J_C,institutional_response,answerability_and_review_remedy_forum,contestability,review_remedy_forum,answerability_and_review,institutional_output
C_REMEDY,J_C,institutional_response,answerability_and_review_remedy_forum,contestability,review_remedy_forum,answerability_and_review,institutional_output
M_ASSESSMENT_VALIDITY,,meta_assessment,,,,,meta_level_validation
M_PROJECTIVE_EXTENSION,,meta_projective,,,,projection_conditional,meta_level_extension
